motif	region	region.gc	region.avgid	RNAphylo	RNAphylo.fdr	hmmpair	no.seq	alignment.len	avgid	no.bps	fraction.paired	expected.covary	observed.covary	alignment.power	fraction.covarying
K00161_downstream.h1_1	K00161_downstream	(0.44,0.48]	(46,54]	20.27	8.108108108108109	0	41	35	77.92	8	45.714285714285715	0.4	0	5	0
K00161_downstream.h2_1	K00161_downstream	(0.44,0.48]	(46,54]	26.29	8.108108108108109	0.015972	44	49	78.59	12	48.97959183673469	1	0	8.333333333333332	0
K00215_upstream.h1_2.h2_1	K00215_upstream	(0.4,0.44]	(46,54]	10.06	3.5294117647058822	0	53	52	77.87	13	50	2.4	0	18.46153846153846	0
K00215_upstream.h1_4.h2_2.h2_3	K00215_upstream	(0.4,0.44]	(46,54]	26.35	1.1764705882352942	0	49	129	74.12	20	31.007751937984494	1.8	0	9	0
K00215_upstream.h1_5.h2_5	K00215_upstream	(0.4,0.44]	(46,54]	5.99	7.0588235294117645	0	30	67	88.67	11	32.83582089552239	0.2	0	1.8181818181818183	0
K00228_upstream.h1_1.h1_4	K00228_upstream	(0.4,0.44]	(41,46]	31.32	1.4084507042253522	0.0276035	18	83	85.49	11	26.506024096385545	0.1	0	0.9090909090909092	0
K00228_upstream.h1_2	K00228_upstream	(0.4,0.44]	(41,46]	14.94	1.4084507042253522	0.892493	29	30	63.83	12	80	2.1	2	17.5	16.666666666666664
K00228_upstream.h2_2	K00228_upstream	(0.4,0.44]	(41,46]	23.47	1.4084507042253522	1.41976	18	96	89.04	22	45.83333333333333	0.3	0	1.3636363636363635	0
K00259_upstream.h2_1	K00259_upstream	(0.4,0.44]	(41,46]	13.29	1.4084507042253522	0	46	62	76.33	6	19.35483870967742	0.4	0	6.666666666666667	0
K00297_downstream.h1_1	K00297_downstream	(0.44,0.48]	(41,46]	16.14	6.25	0.0439824	54	44	74.79	8	36.36363636363637	0.8	1	10	12.5
K00297_downstream.h1_4	K00297_downstream	(0.44,0.48]	(41,46]	13.34	6.25	0	54	34	70.38	6	35.294117647058826	0.5	0	8.333333333333332	0
K00297_downstream.h2_2.h2_3	K00297_downstream	(0.44,0.48]	(41,46]	25.3	6.25	0.00142878	59	132	74.38	20	30.303030303030305	2.2	0	11.000000000000002	0
K00297_upstream.h1_1.h1_3	K00297_upstream	(0.4,0.44]	(46,54]	10.82	3.5294117647058822	0.0749011	60	74	73.2	11	29.72972972972973	1.1	0	10	0
K00297_upstream.h2_1	K00297_upstream	(0.4,0.44]	(46,54]	6.75	4.705882352941177	0.0448178	61	105	72.03	12	22.857142857142858	1.7	0	14.166666666666666	0
K00311_upstream.h1_3.h1_4	K00311_upstream	(0.4,0.44]	(46,54]	7.79	4.705882352941177	0	31	65	76.44	13	40	1.8	0	13.846153846153847	0
K00324_upstream.h1_5	K00324_upstream	(0.4,0.44]	(41,46]	10.56	2.8169014084507045	0	43	40	78.82	8	40	0.7	0	8.75	0
K00324_upstream.h2_1	K00324_upstream	(0.4,0.44]	(41,46]	18.28	1.4084507042253522	0	51	78	78.89	14	35.8974358974359	0.4	0	2.857142857142857	0
K00436_upstream.h1_4.h2_2	K00436_upstream	(0.4,0.44]	(46,54]	105.35	1.1764705882352942	0.534922	54	135	57.74	13	19.25925925925926	2.2	1	16.923076923076923	7.6923076923076925
K00436_upstream.h2_1	K00436_upstream	(0.4,0.44]	(46,54]	13.75	2.3529411764705883	0	59	64	60.07	4	12.5	0.3	0	7.5	0
K00604_downstream.h1_2	K00604_downstream	(0.4,0.44]	(46,54]	29.31	1.1764705882352942	0	44	33	77.84	2	12.121212121212121	0	0	0	0
K00615_downstream.h1_1	K00615_downstream	(0.4,0.44]	(41,46]	12.86	1.4084507042253522	0	34	36	77.55	10	55.55555555555556	0.2	0	2	0
K00615_downstream.h2_1	K00615_downstream	(0.4,0.44]	(41,46]	16.17	1.4084507042253522	0	39	49	78.02	11	44.89795918367347	1.1	0	10	0
K00640_downstream.h1_1	K00640_downstream	(0.4,0.44]	(35,41]	8.73	6.25	0	44	36	77.43	7	38.88888888888889	0.2	0	2.857142857142857	0
K00640_downstream.h1_4.h2_1	K00640_downstream	(0.4,0.44]	(35,41]	14.52	6.25	0	44	65	78.47	11	33.84615384615385	1	0	9.090909090909092	0
K00688_upstream.h2_2	K00688_upstream	(0.4,0.44]	(35,41]	20.26	6.25	0	43	68	74.12	8	23.52941176470588	0.7	0	8.75	0
K00748_downstream.h1_5	K00748_downstream	(0.4,0.44]	(41,46]	14	1.4084507042253522	0.708456	22	46	83.69	8	34.78260869565217	0.2	1	2.5	12.5
K00748_upstream.h1_1.h2_1	K00748_upstream	(0.4,0.44]	(41,46]	13.31	1.4084507042253522	0.739606	25	111	60.57	14	25.225225225225223	1.1	2	7.8571428571428585	14.285714285714285
K00764_downstream.h2_2	K00764_downstream	(0.4,0.44]	(35,41]	3.94	6.25	0	25	51	81.73	1	3.9215686274509802	0	0	0	0
K00772_upstream.h1_5	K00772_upstream	(0.4,0.44]	(41,46]	8.29	9.859154929577466	0.553336	22	54	81.99	15	55.55555555555556	0.7	0	4.666666666666666	0
K00790_upstream.h2_4.h2_5	K00790_upstream	(0.4,0.44]	(46,54]	23.51	1.1764705882352942	0	23	124	84.75	16	25.806451612903224	0.9	1	5.625	6.25
K00791_upstream.h1_4	K00791_upstream	(0.44,0.48]	(46,54]	48.96	2.7027027027027026	0	102	35	71.79	9	51.42857142857142	0.7	0	7.777777777777778	0
K00791_upstream.h2_4	K00791_upstream	(0.44,0.48]	(46,54]	22.03	8.108108108108109	0.701485	30	89	86.95	20	44.9438202247191	0.7	0	3.4999999999999996	0
K00793_upstream.h1_1	K00793_upstream	(0.4,0.44]	(46,54]	10.33	3.5294117647058822	0	93	33	71.18	5	30.303030303030305	0.3	0	6	0
K00793_upstream.h2_1.h2_3	K00793_upstream	(0.4,0.44]	(46,54]	25.71	1.1764705882352942	1.83748	22	103	86.75	25	48.54368932038835	1.1	0	4.4	0
K00793_upstream.h2_2.h2_5	K00793_upstream	(0.4,0.44]	(46,54]	4.68	8.23529411764706	6.12982e-5	26	105	88.92	15	28.57142857142857	0.7	0	4.666666666666666	0
K00793_upstream.h2_4	K00793_upstream	(0.4,0.44]	(46,54]	4.27	8.23529411764706	0.0938835	31	90	80.6	15	33.33333333333333	1.8	0	12.000000000000002	0
K00820_upstream.h1_1	K00820_upstream	(0.4,0.44]	(46,54]	13.81	2.3529411764705883	0.600708	25	33	86.03	12	72.72727272727273	0.3	1	2.5	8.333333333333332
K00937_downstream.h1_1	K00937_downstream	(0.4,0.44]	(54,63]	25.48	6.666666666666667	0.00124341	59	32	56.61	4	25	0.8	1	20	25
K00937_downstream.h2_2	K00937_downstream	(0.4,0.44]	(54,63]	61.96	3.3333333333333335	0.0833591	35	82	75.4	13	31.70731707317073	1.2	1	9.23076923076923	7.6923076923076925
K00940_downstream.h1_5	K00940_downstream	(0.4,0.44]	(46,54]	41.47	1.1764705882352942	9.98184e-13	31	42	75.84	10	47.61904761904761	1.2	0	12	0
K00940_downstream.h2_1	K00940_downstream	(0.4,0.44]	(46,54]	15.19	2.3529411764705883	0	30	55	75.77	8	29.09090909090909	0.4	0	5	0
K00940_downstream.h2_3	K00940_downstream	(0.4,0.44]	(46,54]	29.52	1.1764705882352942	0	42	65	63.83	6	18.461538461538463	0.7	0	11.666666666666666	0
K00940_upstream.h1_4.h2_1	K00940_upstream	(0.4,0.44]	(46,54]	8.57	4.705882352941177	0	35	85	68.64	6	14.117647058823529	0.4	1	6.666666666666667	16.666666666666664
K00940_upstream.h2_2.h2_5	K00940_upstream	(0.4,0.44]	(46,54]	11.94	3.5294117647058822	0.093268	41	106	62.79	5	9.433962264150944	0.2	0	4	0
K00981_upstream.h1_1	K00981_upstream	(0.4,0.44]	(54,63]	38.4	3.3333333333333335	1.99114	15	31	68.37	11	70.96774193548387	0.8	3	7.272727272727273	27.27272727272727
K00981_upstream.h1_4	K00981_upstream	(0.4,0.44]	(54,63]	98.95	3.3333333333333335	0	18	59	49.16	17	57.6271186440678	3.4	7	20	41.17647058823529
K00988_downstream.h1_5	K00988_downstream	(0.36,0.4]	(54,63]	22.97	10	0.927993	33	45	82.37	14	62.22222222222222	1.3	2	9.285714285714286	14.285714285714285
K00988_downstream.h2_1	K00988_downstream	(0.36,0.4]	(54,63]	17.99	10	0.383244	27	97	81.59	17	35.051546391752574	1.5	2	8.823529411764707	11.76470588235294
K00995_downstream.h1_3	K00995_downstream	(0.4,0.44]	(41,46]	8.21	9.859154929577466	0	50	44	73.73	3	13.636363636363635	0	0	0	0
K00995_downstream.h1_4.h2_3	K00995_downstream	(0.4,0.44]	(41,46]	23.79	1.4084507042253522	0.377051	23	74	86.56	10	27.027027027027028	0.3	0	3	0
K01000_upstream.h1_1.h1_3	K01000_upstream	(0.36,0.4]	(46,54]	8.95	8.333333333333332	0.938857	24	100	89.65	19	38	0.5	0	2.631578947368421	0
K01008_downstream.h2_3	K01008_downstream	(0.4,0.44]	(41,46]	43.84	1.4084507042253522	1.8461	25	79	87.2	15	37.9746835443038	0.5	0	3.3333333333333335	0
K01056_downstream.h2_1	K01056_downstream	(0.4,0.44]	(46,54]	17.42	2.3529411764705883	0.0202763	28	48	80.36	12	50	0.8	0	6.666666666666667	0
K01056_upstream.h1_1	K01056_upstream	(0.36,0.4]	(46,54]	9.63	8.333333333333332	1.2102	25	37	82.02	7	37.83783783783784	0.2	1	2.857142857142857	14.285714285714285
K01071_upstream.h1_1	K01071_upstream	(0.36,0.4]	(46,54]	40.64	2.7777777777777777	1.51212	11	35	50.74	10	57.14285714285714	1.8	6	18	60
K01082_upstream.h1_5	K01082_upstream	(0.44,0.48]	(41,46]	14.1	6.25	0	55	42	73.05	8	38.095238095238095	0.3	0	3.75	0
K01159_upstream.h1_3	K01159_upstream	(0.4,0.44]	(46,54]	5.4	7.0588235294117645	0.845188	27	35	80.19	6	34.285714285714285	0.6	0	10	0
K01191_upstream.h1_4	K01191_upstream	(0.44,0.48]	(46,54]	20.46	8.108108108108109	0.046929	56	43	71.75	3	13.953488372093023	1	2	33.33333333333333	66.66666666666666
K01193_downstream.h1_2.h2_4	K01193_downstream	(0.4,0.44]	(54,63]	20.51	10	0	57	65	80.04	15	46.15384615384615	1.5	0	10	0
K01251_upstream.h1_4	K01251_upstream	(0.4,0.44]	(41,46]	12.57	1.4084507042253522	0.818536	24	47	84.56	12	51.06382978723404	0.5	1	4.166666666666666	8.333333333333332
K01265_upstream.h2_1	K01265_upstream	(0.4,0.44]	(41,46]	33.9	1.4084507042253522	0	27	72	83.78	15	41.66666666666667	0.2	0	1.3333333333333335	0
K01347_upstream.h2_4	K01347_upstream	(0.4,0.44]	(35,41]	54.37	6.25	0.288591	30	88	61.68	19	43.18181818181818	4.9	2	25.789473684210527	10.526315789473683
K01356_downstream.h1_3	K01356_downstream	(0.4,0.44]	(41,46]	14.59	1.4084507042253522	0.955859	7	47	67.51	17	72.3404255319149	0.2	2	1.1764705882352942	11.76470588235294
K01356_upstream.h1_5	K01356_upstream	(0.36,0.4]	(54,63]	30.49	10	0	101	53	60.07	3	11.320754716981133	0	0	0	0
K01414_downstream.h2_1.h2_4	K01414_downstream	(0.4,0.44]	(35,41]	12.25	6.25	0.0116512	35	146	75.7	13	17.80821917808219	0.9	0	6.923076923076923	0
K01424_upstream.h1_1	K01424_upstream	(0.4,0.44]	(54,63]	35	6.666666666666667	0.0385826	34	80	58.97	11	27.500000000000004	2.1	4	19.090909090909093	36.36363636363637
K01428_downstream.h1_3	K01428_downstream	(0.4,0.44]	(35,41]	4.12	6.25	0	13	31	93.07	8	51.61290322580645	0	0	0	0
K01437_downstream.h1_1.h2_1.h1_4	K01437_downstream	(0.4,0.44]	(41,46]	20.32	1.4084507042253522	3.35523	32	71	83.69	13	36.61971830985916	0.5	1	3.8461538461538463	7.6923076923076925
K01437_downstream.h1_5	K01437_downstream	(0.4,0.44]	(41,46]	13.25	1.4084507042253522	0	26	47	84.91	4	17.02127659574468	0	0	0	0
K01437_upstream.h1_4.h2_1.h1_2	K01437_upstream	(0.4,0.44]	(41,46]	36.24	1.4084507042253522	4.01999e-4	57	89	63.27	7	15.730337078651685	0.9	0	12.85714285714286	0
K01465_upstream.h2_1	K01465_upstream	(0.36,0.4]	(46,54]	11.92	5.555555555555555	0.140725	29	69	83.87	8	23.18840579710145	0.1	0	1.25	0
K01524_upstream.h1_2	K01524_upstream	(0.44,0.48]	(46,54]	34.43	2.7027027027027026	0	52	43	61.9	9	41.86046511627907	2.3	0	25.555555555555554	0
K01537_upstream.h2_3	K01537_upstream	(0.4,0.44]	(41,46]	62.19	1.4084507042253522	0	37	73	50.24	5	13.698630136986301	1.7	3	34	60
K01579_upstream.h1_3	K01579_upstream	(0.4,0.44]	(46,54]	29.38	1.1764705882352942	2.09264	21	49	51.02	9	36.734693877551024	2.3	3	25.555555555555554	33.33333333333333
K01601_downstream.h1_1	K01601_downstream	(0.36,0.4]	(54,63]	75.48	10	3.04432	31	64	70.96	17	53.125	2.3	1	13.529411764705882	5.88235294117647
K01601_downstream.h1_2	K01601_downstream	(0.36,0.4]	(54,63]	110.29	10	1.43328	69	51	54.11	17	66.66666666666666	8.3	15	48.82352941176471	88.23529411764706
K01624_upstream.h1_2	K01624_upstream	(0.36,0.4]	(54,63]	14.53	10	0	15	35	85.02	5	28.57142857142857	0	0	0	0
K01626_downstream.h1_2	K01626_downstream	(0.36,0.4]	(46,54]	18.73	2.7777777777777777	0	18	37	87.67	6	32.432432432432435	0	0	0	0
K01626_upstream.h1_5.h2_4	K01626_upstream	(0.4,0.44]	(41,46]	10.06	2.8169014084507045	0	33	122	80.67	10	16.39344262295082	0.2	1	2	10
K01626_upstream.h2_1.h2_3	K01626_upstream	(0.4,0.44]	(41,46]	26.55	1.4084507042253522	0.0021542	25	127	94.94	31	48.818897637795274	0.1	0	0.3225806451612903	0
K01647_downstream.h1_2	K01647_downstream	(0.4,0.44]	(46,54]	20.56	1.1764705882352942	7.74587e-7	27	43	75.68	11	51.162790697674424	1.5	3	13.636363636363635	27.27272727272727
K01649_upstream.h1_3	K01649_upstream	(0.4,0.44]	(46,54]	45.71	1.1764705882352942	0	11	46	85.02	13	56.52173913043478	0	0	0	0
K01649_upstream.h2_2	K01649_upstream	(0.4,0.44]	(46,54]	67.2	1.1764705882352942	0.263707	14	92	67.53	16	34.78260869565217	0.5	1	3.125	6.25
K01652_upstream.h1_1	K01652_upstream	(0.36,0.4]	(46,54]	60.39	2.7777777777777777	0	57	32	54.15	3	18.75	1.1	2	36.66666666666667	66.66666666666666
K01652_upstream.h1_2	K01652_upstream	(0.36,0.4]	(46,54]	98.68	2.7777777777777777	1.09056	23	44	52.66	15	68.18181818181817	3.6	4	24.000000000000004	26.666666666666668
K01662_downstream.h2_2.h2_3.h2_1.h2_4	K01662_downstream	(0.4,0.44]	(41,46]	16.07	1.4084507042253522	0	40	178	71.4	20	22.47191011235955	1.1	1	5.500000000000001	5
K01687_downstream.h1_3.h2_5	K01687_downstream	(0.4,0.44]	(41,46]	14.9	1.4084507042253522	0.103231	20	85	89.83	17	40	0.2	0	1.1764705882352942	0
K01687_downstream.h1_4.h2_2.h2_3	K01687_downstream	(0.4,0.44]	(41,46]	20.69	1.4084507042253522	0	56	222	59.69	15	13.513513513513514	1.2	1	8	6.666666666666667
K01698_upstream.h1_1	K01698_upstream	(0.4,0.44]	(35,41]	16.76	6.25	2.27754	9	40	67.08	14	70	0.6	3	4.285714285714286	21.428571428571427
K01698_upstream.h1_2	K01698_upstream	(0.4,0.44]	(35,41]	7.72	6.25	9.73469e-13	16	37	84.66	11	59.45945945945946	0.6	0	5.454545454545454	0
K01698_upstream.h2_2	K01698_upstream	(0.4,0.44]	(35,41]	3.87	6.25	0	26	72	88.4	15	41.66666666666667	1.1	0	7.333333333333333	0
K01736_downstream.h2_1	K01736_downstream	(0.4,0.44]	(41,46]	22.1	1.4084507042253522	4.73241e-5	17	62	92.03	8	25.806451612903224	0	0	0	0
K01737_upstream.h1_4	K01737_upstream	(0.4,0.44]	(41,46]	20.89	1.4084507042253522	0.610175	31	41	73.08	8	39.02439024390244	0.3	3	3.75	37.5
K01738_upstream.h2_1	K01738_upstream	(0.36,0.4]	(46,54]	11.44	5.555555555555555	0	30	60	78.81	6	20	0.3	0	5	0
K01754_upstream.h1_5	K01754_upstream	(0.4,0.44]	(41,46]	16.04	1.4084507042253522	0	55	39	76.94	8	41.02564102564102	1.5	0	18.75	0
K01807_downstream.h1_3	K01807_downstream	(0.44,0.48]	(41,46]	9.42	6.25	0	53	43	71.16	11	51.162790697674424	1	0	9.090909090909092	0
K01807_downstream.h1_4	K01807_downstream	(0.44,0.48]	(41,46]	9.79	6.25	0	52	38	70.3	4	21.052631578947366	0.6	1	15	25
K01807_downstream.h1_5	K01807_downstream	(0.44,0.48]	(41,46]	5.66	6.25	0	49	55	64.48	2	7.2727272727272725	0	1	0	50
K01807_downstream.h2_2.h2_3	K01807_downstream	(0.44,0.48]	(41,46]	16.37	6.25	0	62	165	67.87	20	24.242424242424242	1.4	0	6.999999999999999	0
K01835_upstream.h2_2	K01835_upstream	(0.4,0.44]	(46,54]	4.26	8.23529411764706	0.726809	24	74	83.76	12	32.432432432432435	0.5	0	4.166666666666666	0
K01867_upstream.h1_2.h1_4	K01867_upstream	(0.4,0.44]	(46,54]	21.34	1.1764705882352942	0.100916	21	72	84.58	8	22.22222222222222	0.1	0	1.25	0
K01867_upstream.h2_1.h2_2	K01867_upstream	(0.4,0.44]	(46,54]	15.54	2.3529411764705883	0.00788018	22	65	80.69	9	27.692307692307693	0.3	0	3.3333333333333335	0
K01870_downstream.h2_2	K01870_downstream	(0.4,0.44]	(35,41]	5.92	6.25	0.00248921	30	80	83.97	13	32.5	0.5	0	3.8461538461538463	0
K01872_upstream.h2_3	K01872_upstream	(0.4,0.44]	(41,46]	14.12	1.4084507042253522	0.415902	22	63	85.28	16	50.79365079365079	0.2	1	1.25	6.25
K01874_downstream.h1_2	K01874_downstream	(0.36,0.4]	(54,63]	21.06	10	1.9947	33	41	70.31	9	43.90243902439025	1	0	11.11111111111111	0
K01890_downstream.h2_1	K01890_downstream	(0.44,0.48]	(41,46]	13.21	6.25	0.589309	35	73	75.76	10	27.397260273972602	0.7	1	6.999999999999999	10
K01890_downstream.h2_3	K01890_downstream	(0.44,0.48]	(41,46]	5.59	6.25	0.569539	35	81	72.41	11	27.160493827160494	1.2	0	10.909090909090908	0
K01895_downstream.h1_2.h2_1	K01895_downstream	(0.4,0.44]	(35,41]	39.08	6.25	0	30	54	83.01	9	33.33333333333333	0.1	0	1.1111111111111112	0
K01895_downstream.h1_4.h2_2	K01895_downstream	(0.4,0.44]	(35,41]	27.11	6.25	0.519283	30	78	75.27	15	38.46153846153847	1.2	1	8	6.666666666666667
K01895_upstream.h1_5.h2_1	K01895_upstream	(0.4,0.44]	(41,46]	39.62	1.4084507042253522	0.0313212	33	87	70.48	4	9.195402298850574	0.2	1	5	25
K01915_downstream.h1_2	K01915_downstream	(0.4,0.44]	(41,46]	27.71	1.4084507042253522	0	13	41	84.85	15	73.17073170731707	0.2	0	1.3333333333333335	0
K01924_upstream.h1_4	K01924_upstream	(0.4,0.44]	(46,54]	12.7	3.5294117647058822	0.0140431	22	53	88.36	15	56.60377358490566	0.4	0	2.666666666666667	0
K01929_downstream.h1_1	K01929_downstream	(0.4,0.44]	(41,46]	10.85	1.4084507042253522	0	44	34	69.77	7	41.17647058823529	0.7	0	10	0
K01951_upstream.h1_3	K01951_upstream	(0.4,0.44]	(46,54]	17.06	2.3529411764705883	0	26	46	82.03	5	21.73913043478261	0	0	0	0
K01961_downstream.h1_2	K01961_downstream	(0.4,0.44]	(46,54]	16.25	2.3529411764705883	0	70	51	73.67	7	27.450980392156865	0.2	0	2.857142857142857	0
K01961_downstream.h1_3	K01961_downstream	(0.4,0.44]	(46,54]	14.75	2.3529411764705883	0	60	35	73.34	6	34.285714285714285	1	0	16.666666666666664	0
K01961_downstream.h1_4.h2_4	K01961_downstream	(0.4,0.44]	(46,54]	22.24	1.1764705882352942	0	65	70	67.88	8	22.857142857142858	0.6	0	7.5	0
K02014_upstream.h1_4	K02014_upstream	(0.4,0.44]	(46,54]	78.71	1.1764705882352942	0	67	42	45.8	10	47.61904761904761	6.2	8	62	80
K02033_downstream.h1_3	K02033_downstream	(0.4,0.44]	(41,46]	23.08	1.4084507042253522	1.92429	14	49	56.76	15	61.224489795918366	1.7	3	11.333333333333332	20
K02033_upstream.h1_3	K02033_upstream	(0.4,0.44]	(46,54]	14.09	2.3529411764705883	0	88	59	47.13	1	3.389830508474576	0.6	1	60	100
K02078_upstream.h1_1	K02078_upstream	(0.4,0.44]	(46,54]	7.43	4.705882352941177	0	60	37	79.37	8	43.24324324324324	0.8	0	10	0
K02094_upstream.h1_1	K02094_upstream	(0.36,0.4]	(54,63]	43.08	10	0.660877	29	32	79.75	12	75	0.2	0	1.6666666666666667	0
K02094_upstream.h1_2.h1_4	K02094_upstream	(0.36,0.4]	(54,63]	142.43	10	4.29109	111	100	58.34	26	52	15.9	10	61.15384615384616	38.46153846153847
K02095_downstream.h1_2.h2_3	K02095_downstream	(0.44,0.48]	(46,54]	39.78	2.7027027027027026	3.95336	48	70	62.38	26	74.28571428571429	8.4	6	32.30769230769231	23.076923076923077
K02097_upstream.h1_2	K02097_upstream	(0.4,0.44]	(46,54]	4.18	8.23529411764706	0	63	45	70.57	5	22.22222222222222	1.4	0	27.999999999999996	0
K02097_upstream.h1_3	K02097_upstream	(0.4,0.44]	(46,54]	16.7	2.3529411764705883	0	27	39	78.02	9	46.15384615384615	0	0	0	0
K02097_upstream.h2_1.h2_4	K02097_upstream	(0.4,0.44]	(46,54]	5.92	7.0588235294117645	0	82	77	69.29	7	18.181818181818183	1.3	0	18.571428571428573	0
K02110_downstream.h1_5	K02110_downstream	(0.4,0.44]	(46,54]	15.78	2.3529411764705883	4.85873	32	60	50.2	23	76.66666666666667	7.2	14	31.30434782608696	60.86956521739131
K02217_downstream.h2_2	K02217_downstream	(0.4,0.44]	(46,54]	6.93	4.705882352941177	0.693974	40	65	69.69	3	9.230769230769232	0	0	0	0
K02217_upstream.h1_5.h2_2	K02217_upstream	(0.36,0.4]	(54,63]	40.56	10	3.33612e-7	31	99	80.28	9	18.181818181818183	0	0	0	0
K02221_downstream.h1_1	K02221_downstream	(0.44,0.48]	(46,54]	23.75	8.108108108108109	0	65	36	74.63	8	44.44444444444444	1.2	2	15	25
K02221_downstream.h2_1	K02221_downstream	(0.44,0.48]	(46,54]	32.37	2.7027027027027026	0	73	75	73.07	15	40	2.8	0	18.666666666666664	0
K02221_downstream.h2_2	K02221_downstream	(0.44,0.48]	(46,54]	28.93	5.405405405405405	0	61	51	77.81	12	47.05882352941176	2.3	0	19.166666666666664	0
K02221_upstream.h2_1	K02221_upstream	(0.4,0.44]	(46,54]	15.99	2.3529411764705883	0	57	83	76.02	5	12.048192771084338	0	0	0	0
K02233_downstream.h1_4.h2_2.h1_5	K02233_downstream	(0.44,0.48]	(41,46]	7.43	6.25	7.56502e-7	63	133	62.64	14	21.052631578947366	1.1	0	7.8571428571428585	0
K02233_upstream.h1_2	K02233_upstream	(0.4,0.44]	(46,54]	5.43	7.0588235294117645	0	47	33	71.73	3	18.181818181818183	0	0	0	0
K02257_upstream.h1_1	K02257_upstream	(0.36,0.4]	(54,63]	9.33	10	0.74928	9	38	75.92	12	63.1578947368421	0.4	3	3.3333333333333335	25
K02257_upstream.h1_2	K02257_upstream	(0.36,0.4]	(54,63]	21.67	10	0.974463	11	52	66.17	15	57.692307692307686	0.4	1	2.666666666666667	6.666666666666667
K02294_downstream.h2_4	K02294_downstream	(0.4,0.44]	(46,54]	10.76	3.5294117647058822	0	58	96	64.38	11	22.916666666666664	1.8	0	16.363636363636363	0
K02313_downstream.h2_1	K02313_downstream	(0.4,0.44]	(41,46]	11.31	1.4084507042253522	0.866611	29	71	80.13	16	45.07042253521127	0.9	0	5.625	0
K02316_upstream.h2_3	K02316_upstream	(0.4,0.44]	(46,54]	25.24	1.1764705882352942	0	54	80	62.44	14	35	3	1	21.428571428571427	7.142857142857142
K02337_downstream.h1_4	K02337_downstream	(0.4,0.44]	(35,41]	14.52	6.25	0.0848332	31	34	73.7	7	41.17647058823529	1	2	14.285714285714285	28.57142857142857
K02337_downstream.h1_5	K02337_downstream	(0.4,0.44]	(35,41]	6.65	6.25	0.00119915	27	44	82.6	10	45.45454545454545	0.6	0	6	0
K02340_upstream.h2_1	K02340_upstream	(0.4,0.44]	(46,54]	6.7	4.705882352941177	0	47	37	71.01	5	27.027027027027028	0	0	0	0
K02340_upstream.h2_3	K02340_upstream	(0.4,0.44]	(46,54]	11.39	3.5294117647058822	0	56	67	64.88	4	11.940298507462686	0.5	0	12.5	0
K02341_downstream.h2_1.h2_2.h1_2	K02341_downstream	(0.4,0.44]	(46,54]	127.23	1.1764705882352942	0	53	148	65.08	27	36.486486486486484	8.2	1	30.37037037037037	3.7037037037037033
K02355_upstream.h1_1	K02355_upstream	(0.36,0.4]	(46,54]	46.83	2.7777777777777777	3.02127	25	38	74.08	13	68.42105263157895	1.2	4	9.23076923076923	30.76923076923077
